id,name,mpName,house,totalMPs,totalAllocated,totalExpenditure,utilizationPercentage,totalWorksCompleted,totalWorksRecommended,state
SITAMARHI,SITAMARHI,DEVESH CHANDRA THAKUR,Lok Sabha,1,163809205.11,41894417.0,25.57512990302795,119,90,Bihar
BEGUSARAI,BEGUSARAI,Giriraj Singh,Lok Sabha,1,147000000.0,32994877.0,22.445494557823128,17,50,Bihar
SAMASTIPUR,SAMASTIPUR,SHAMBHAVI,Lok Sabha,1,147000000.0,26689204.0,18.155921088435374,16,111,Bihar
UJJARPUR,UJJARPUR,Nityanand Rai,Lok Sabha,1,147000000.0,22994739.0,15.642679591836734,40,54,Bihar
NAWADA,NAWADA,VIVEK THAKUR,Lok Sabha,1,147000000.0,3164487.0,2.1527122448979594,1,85,Bihar
MUNGER,MUNGER,Rajiv Ranjan (Lalan) Singh,Lok Sabha,1,147000000.0,0.0,0.0,0,1,Bihar
SARAN,SARAN,Rajiv Pratap Rudy,Lok Sabha,1,147000000.0,0.0,0.0,0,12,Bihar
PASCHIM CHAMPARAN,PASCHIM CHAMPARAN,Sanjay Jaiswal,Lok Sabha,1,147000000.0,0.0,0.0,0,0,Bihar
PATALIPUTRA,PATALIPUTRA,MISHA BHARTI,Lok Sabha,1,147000000.0,0.0,0.0,0,0,Bihar
ARANI,ARANI,THARANIVENTHAN M S,Lok Sabha,1,168337124.35,111315790.0,66.12670284693503,180,137,Tamil Nadu
TENKASI,TENKASI,DR RANI SRI KUMAR,Lok Sabha,1,153060922.82,99919930.0,65.28114959656037,102,58,Tamil Nadu
DINDIGUL,DINDIGUL,SACHITHANANTHAM R,Lok Sabha,1,147000000.0,91226196.0,62.05863673469387,50,84,Tamil Nadu
SIVAGANGA,SIVAGANGA,Shri Karti P Chidambaram ,Lok Sabha,1,159049284.11,98344507.0,61.83272534064598,117,67,Tamil Nadu
VIRUDHUNAGAR,VIRUDHUNAGAR,Manickam Tagore B,Lok Sabha,1,147000000.0,90165437.0,61.33703197278911,69,19,Tamil Nadu
KALLAKURICHI,KALLAKURICHI,MALAIYARASAN D,Lok Sabha,1,201599593.0,121901141.0,60.46695788716201,198,191,Tamil Nadu
KANCHEEPURAM,KANCHEEPURAM,Ganesan Selvam,Lok Sabha,1,186508749.11,110717216.0,59.36301461906255,273,177,Tamil Nadu
ERODE,ERODE,K E PRAKASH,Lok Sabha,1,147000000.0,87182728.0,59.307978231292516,141,101,Tamil Nadu
TIRUVANNAMALAI,TIRUVANNAMALAI,CN Annadurai,Lok Sabha,1,148579509.11,87500808.0,58.89157160643145,171,23,Tamil Nadu
NAMAKKAL,NAMAKKAL,V S Matheswaran,Lok Sabha,1,162539930.11,90580955.0,55.7284323542521,140,70,Tamil Nadu
TIRUPPUR,TIRUPPUR,K Subbarayan,Lok Sabha,1,147000000.0,81901423.0,55.715253741496596,65,53,Tamil Nadu
VILUPPURAM,VILUPPURAM,D Ravikumar ,Lok Sabha,1,197598306.11,104427486.0,52.848371049226905,222,66,Tamil Nadu
TIRUVALLUR,TIRUVALLUR,Sasikanth Senthil,Lok Sabha,1,171500000.0,89433784.0,52.14797900874636,87,95,Tamil Nadu
THANJAVUR,THANJAVUR,MURASOLI S,Lok Sabha,1,147000000.0,76201785.0,51.83794897959184,45,44,Tamil Nadu
CHENNAI NORTH,CHENNAI NORTH,Kalanidhi Veeraswamy,Lok Sabha,1,171500000.0,83933669.0,48.94091486880466,40,60,Tamil Nadu
NILGIRIS,NILGIRIS,Andimuthu Raja,Lok Sabha,1,147000000.0,71485310.0,48.62946258503401,73,41,Tamil Nadu
CUDDALORE,CUDDALORE,M.K. VISHNUPRASAD,Lok Sabha,1,147000000.0,71295556.0,48.500378231292515,74,40,Tamil Nadu
CHIDAMBARAM,CHIDAMBARAM,Thirumaa Valavan Thol,Lok Sabha,1,147000000.0,68203692.0,46.3970693877551,45,32,Tamil Nadu
PERAMBALUR,PERAMBALUR,ARUN NEHRU,Lok Sabha,1,147000000.0,67653424.0,46.02273741496599,54,28,Tamil Nadu
Sitting Rajya Sabha,Sitting Rajya Sabha,Dr. Anbumani Ramadoss (2026-32),Rajya Sabha,18,2092699543.63,937813038.0,44.81355390240435,711,463,Tamil Nadu
TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,DURAI VAIKO,Lok Sabha,1,147000000.0,65218053.0,44.36602244897959,45,33,Tamil Nadu
DHARAMAPURI,DHARAMAPURI,MANI. A.,Lok Sabha,1,164515071.11,67070637.0,40.768688575136345,63,315,Tamil Nadu
THOOTHUKKUDI,THOOTHUKKUDI,Kanimozhi Karunanidhi,Lok Sabha,1,147000000.0,58344698.0,39.69027074829932,12,39,Tamil Nadu
TIRUNELVELI,TIRUNELVELI,ROBERT BRUCE C,Lok Sabha,1,147475440.11,55819028.0,37.849711082987994,60,51,Tamil Nadu
RAMANATHAPURAM,RAMANATHAPURAM,Kani K Navas,Lok Sabha,1,147000000.0,54855096.0,37.31639183673469,68,41,Tamil Nadu
SRIPERUMBUDUR,SRIPERUMBUDUR,Thalikkottai Rajuthevar Baalu,Lok Sabha,1,196905535.11,71998395.0,36.56494214841577,63,63,Tamil Nadu
POLLACHI,POLLACHI,ESWARASAMY K,Lok Sabha,1,162315106.11,59028493.0,36.36660469543527,46,34,Tamil Nadu
NAGAPATTINAM,NAGAPATTINAM,SELVARAJ V,Lok Sabha,1,147000000.0,50673389.0,34.47169319727891,44,41,Tamil Nadu
THENI,THENI,THANGA TAMILSELVAN,Lok Sabha,1,147000000.0,49328291.0,33.556660544217685,24,72,Tamil Nadu
KANNIYAKUMARI,KANNIYAKUMARI,Shri vijayakumar Vasanth,Lok Sabha,1,171500000.0,57305751.0,33.41443206997084,39,62,Tamil Nadu
MADURAI,MADURAI,S Venkatesan,Lok Sabha,1,147000000.0,48171006.0,32.7693918367347,46,81,Tamil Nadu
KARUR,KARUR,Smt S Jothimani,Lok Sabha,1,147000000.0,47711966.0,32.457119727891154,86,90,Tamil Nadu
COIMBATORE,COIMBATORE,GANAPATHY RAJKUMAR P,Lok Sabha,1,147370490.11,43662823.0,29.627928201507146,7,62,Tamil Nadu
KRISHNAGIRI,KRISHNAGIRI,GOPINATH K,Lok Sabha,1,147000000.0,42753233.0,29.083831972789113,36,77,Tamil Nadu
ARAKKONAM,ARAKKONAM,S. Jagathrakshakan,Lok Sabha,1,180589332.34,52167418.0,28.887319823400816,34,130,Tamil Nadu
MAYILADUTHURAI,MAYILADUTHURAI,SUDHA R,Lok Sabha,1,147332315.11,33193145.0,22.529439638016694,22,127,Tamil Nadu
VELLORE,VELLORE,D M Kathir Anand,Lok Sabha,1,160196941.11,34828146.0,21.740830853995572,15,67,Tamil Nadu
CHENNAI CENTRAL,CHENNAI CENTRAL,Thiru Dayanidhi Maran,Lok Sabha,1,147000000.0,30478390.0,20.73359863945578,4,8,Tamil Nadu
Nominated Rajya Sabha,Nominated Rajya Sabha,Shri Ilaiyaraaja (2022-28),Rajya Sabha,1,220563957.11,44381022.0,20.12161124669441,17,10,Tamil Nadu
