workId,state,state_hi,district,district_hi,location,location_hi,category,category_hi,estimated_cost,status,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency
252027,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,492000,Recommended,Recommended,2025-12-03T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Constriction of  water tank   in Panchyati complex in Nandipalli GP of Vempalli m in YSR kadapa dist,Constriction of  water tank   in Panchyati complex in Nandipalli GP of Vempalli m in YSR kadapa dist,,Y S Avinash Reddy,,KADAPA
201546,Andhra Pradesh,Andhra Pradesh,BAPATLA,BAPATLA,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Normal/Others,Normal/Others,300000,Recommended,Recommended,2025-06-06T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Construction of CC Road from R and B Road to Poleramma Devasthanam in Krosuruvaripalem of Nizampatnam G P in Nizampatnam mandal, Bapatla district","Construction of CC Road from R and B Road to Poleramma Devasthanam in Krosuruvaripalem of Nizampatnam G P in Nizampatnam mandal, Bapatla district",,Krishna Prasad Tenneti,,BAPATLA
252136,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,1500000,Recommended,Recommended,2025-12-10T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Laying of Concrete Raod from Door No.22-4-59-2A to C S Jasminium Apartment at Sri Padmavathi Nagar Ward No.50 under Zone-V, Municipal Corporation, Tirupati.","Laying of Concrete Raod from Door No.22-4-59-2A to C S Jasminium Apartment at Sri Padmavathi Nagar Ward No.50 under Zone-V, Municipal Corporation, Tirupati.",,Maddila Gurumoorthy,,TIRUPATI
161722,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,100000,Recommended,Recommended,2024-12-27T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Providing street lights and fixtures at Gudalavaari Pallem in Varadaiahpalem Mandal.,Providing street lights and fixtures at Gudalavaari Pallem in Varadaiahpalem Mandal.,,Maddila Gurumoorthy,,TIRUPATI
253037,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,450000,Recommended,Recommended,2025-12-17T00:00:00.000Z,2025,Lok Sabha,18,0,True,431849,1,Construction of Bus Shelter at Ethamakulapalle of Mudigolam GP in Irala Mandal.,Construction of Bus Shelter at Ethamakulapalle of Mudigolam GP in Irala Mandal.,,DAGGUMALLA PRASADA RAO,,CHITTOOR
203509,Andhra Pradesh,Andhra Pradesh,BAPATLA,BAPATLA,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Normal/Others,Normal/Others,300000,Recommended,Recommended,2025-06-06T00:00:00.000Z,2025,Lok Sabha,18,0,True,282953,1,"Construction of CC Road from R B road to Surammatalli Temple of Gudavalli G.P, Cherukupalli mandal","Construction of CC Road from R B road to Surammatalli Temple of Gudavalli G.P, Cherukupalli mandal",,Krishna Prasad Tenneti,,BAPATLA
253281,Andhra Pradesh,Andhra Pradesh,ARAKU,ARAKU,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),Normal/Others,Normal/Others,400000,Recommended,Recommended,2025-12-16T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"11 feet Iron Fencing, Lighting facility for night play to Boys and Girls valley ball courts and 6 x 7 feet cement wall to separate the Boys and Girls volley ball courts at GTWS(Boys) Thalarisingi Paderu","11 feet Iron Fencing, Lighting facility for night play to Boys and Girls valley ball courts and 6 x 7 feet cement wall to separate the Boys and Girls volley ball courts at GTWS(Boys) Thalarisingi Paderu",,Gumma Thanuja Rani,,ARAKU
143985,Andhra Pradesh,Andhra Pradesh,NARASARAOPET,NARASARAOPET,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Normal/Others,Normal/Others,416758,Recommended,Recommended,2024-09-27T00:00:00.000Z,2024,Lok Sabha,18,0,True,416758,1,Fixing of New Connection & additional load in ESI Hospital Nadimpalem village of Prathipadu Mandal of Guntur District.,Fixing of New Connection & additional load in ESI Hospital Nadimpalem village of Prathipadu Mandal of Guntur District.,,Lavu Sri Krishna Devarayalu,,NARASARAOPET
253873,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,800000,Recommended,Recommended,2025-12-13T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Construction of Stage for community cultural activities at ZP High School, Makivalasa village, Narasannapeta mandal","Construction of Stage for community cultural activities at ZP High School, Makivalasa village, Narasannapeta mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
203601,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,450000,Recommended,Recommended,2025-05-27T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Construction of Compound wall for Edga North side near Valasapalli road, Valasapalli Panchayat of Yerraguntla Manadal","Construction of Compound wall for Edga North side near Valasapalli road, Valasapalli Panchayat of Yerraguntla Manadal",,Y S Avinash Reddy,,KADAPA
253876,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-12-13T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of Night Shelter for homeless people at Sompeta 2 of Sompeta mandal,Construction of Night Shelter for homeless people at Sompeta 2 of Sompeta mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
161724,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,100000,Recommended,Recommended,2024-12-27T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Providing street lights and fixtures at arudur in Varadaiahpalem Mandal.,Providing street lights and fixtures at arudur in Varadaiahpalem Mandal.,,Maddila Gurumoorthy,,TIRUPATI
