id,name,constituency,state,house,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completedWorksValue,inProgressPayments,paymentGapPercentage,completionRate,pendingWorks,unspentAmount,totalRecommendedAmount,name_hi,constituency_hi,state_hi
6a932b5ecd944524379ee24d,Shri K.R.N. Rajeshkumar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,238513975.53,152999036.0,64.14678035533224,84,18,131487423.0,21511613.0,14.059966364755397,82.35294117647058,-66,85514939.53,54439000.0,Shri K.R.N. Rajeshkumar (2022-28),Sitting Rajya Sabha,Tamil Nadu
6a932b5bcd944524379edf59,SHER SINGH GHUBAYA,FIROZPUR,Punjab,Lok Sabha,147000000.0,94266196.0,64.12666394557823,361,34,88106251.0,6159945.0,6.53462774715127,91.39240506329114,-327,52733804.0,10162000.0,SHER SINGH GHUBAYA,FIROZPUR,Punjab
6a932b5bcd944524379edf07,Prof SP Singh Baghel,AGRA,Uttar Pradesh,Lok Sabha,147000000.0,93200157.0,63.40146734693878,55,55,75214638.0,17985519.0,19.297734659395477,50.0,0,53799843.0,71708800.0,Prof SP Singh Baghel,AGRA,Uttar Pradesh
6a932b5bcd944524379eddcf,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,Manipur,Lok Sabha,147000000.0,93860392.0,63.85060680272109,21,29,45798053.0,48062339.0,51.2061988831242,42.0,8,53139608.0,69691752.0,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,Manipur
6a932b5bcd944524379edfae,THARANIVENTHAN M S,ARANI,Tamil Nadu,Lok Sabha,168337124.35,111315790.0,66.12670284693503,180,137,91405416.0,19910374.0,17.886387905974523,56.782334384858046,-43,57021334.349999994,74170000.0,THARANIVENTHAN M S,ARANI,Tamil Nadu
6a932b5bcd944524379edeec,Pankaj Chowdhary,MAHARAJGANJ,Uttar Pradesh,Lok Sabha,147000000.0,95676373.0,65.08596802721088,35,30,75335566.0,20340807.0,21.260010556629275,53.84615384615385,-5,51323627.0,56016732.0,Pankaj Chowdhary,MAHARAJGANJ,Uttar Pradesh
6a932b5bcd944524379ede71,Indra Hang Subba,SIKKIM,Sikkim,Lok Sabha,152003923.11,98023420.0,64.48742768899709,38,81,76962180.0,21061240.0,21.48592652653825,31.932773109243694,43,53980503.110000014,56803000.0,Indra Hang Subba,SIKKIM,Sikkim
6a932b5bcd944524379ede7e,JITENDRA KUMAR DOHARE,ETAWAH,Uttar Pradesh,Lok Sabha,188747306.26,119571988.0,63.350301717837084,192,322,59111265.0,60460723.0,50.56428684618006,37.35408560311284,130,69175318.25999999,114627477.45,JITENDRA KUMAR DOHARE,ETAWAH,Uttar Pradesh
6a932b5bcd944524379edec9,MANOJ KUMAR,SASARAM,Bihar,Lok Sabha,147000000.0,95686097.0,65.09258299319728,82,112,68255638.0,27430459.0,28.667131234331777,42.2680412371134,30,51313903.0,77324340.0,MANOJ KUMAR,SASARAM,Bihar
6a932b5bcd944524379edf22,RAKESH RATHOR,SITAPUR,Uttar Pradesh,Lok Sabha,147000000.0,91524162.0,62.261334693877544,21,50,32047044.0,59477118.0,64.985154412012,29.577464788732392,29,55475838.0,106852496.0,RAKESH RATHOR,SITAPUR,Uttar Pradesh
6a932b5bcd944524379ede1c,CHHOTELAL,ROBERTSGANJ,Uttar Pradesh,Lok Sabha,147000000.0,90952339.0,61.87233945578231,261,174,49140148.0,41812191.0,45.97154010519729,60.0,-87,56047661.0,82129996.0,CHHOTELAL,ROBERTSGANJ,Uttar Pradesh
6a932b5bcd944524379edf3d,SACHITHANANTHAM R,DINDIGUL,Tamil Nadu,Lok Sabha,147000000.0,91226196.0,62.05863673469387,50,84,59427935.0,31798261.0,34.85650218277215,37.3134328358209,34,55773804.0,87536000.0,SACHITHANANTHAM R,DINDIGUL,Tamil Nadu
6a932b5bcd944524379edf4b,SARABJEET SINGH KHALSA,FARIDKOT,Punjab,Lok Sabha,150850348.15,93855473.0,62.21760450076893,227,389,49705480.0,44149993.0,47.04040328047785,36.85064935064935,162,56994875.150000006,89411447.0,SARABJEET SINGH KHALSA,FARIDKOT,Punjab
6a932b5ecd944524379ee20b,Dr. Sikander Kumar (2022-28),Sitting Rajya Sabha,Himachal Pradesh,Rajya Sabha,207863957.11,127603852.04,61.38815685707023,169,225,89654329.04,37949523.0,29.74010767958945,42.89340101522843,56,80260105.07000001,77092583.0,Dr. Sikander Kumar (2022-28),Sitting Rajya Sabha,Himachal Pradesh
6a932b5bcd944524379edec3,Manickam Tagore B,VIRUDHUNAGAR,Tamil Nadu,Lok Sabha,147000000.0,90165437.0,61.33703197278911,69,19,73873945.0,16291492.0,18.068444563741203,78.4090909090909,-50,56834563.0,23870000.0,Manickam Tagore B,VIRUDHUNAGAR,Tamil Nadu
