house,cand_id,candidate_name,constituency,party,criminal_cases,education,total_assets_raw,total_assets_num,liabilities_raw,liabilities_num
Lok Sabha,2743,Damodar Agarwal,BHILWARA,BJP,1,Post Graduate,"Rs 7,13,92,415 ~ 7 Crore+",71392415.0,"Rs 33,20,600 ~ 33 Lacs+",3320600.0
Lok Sabha,8140,Daroga Prasad Saroj,LALGANJ (SC),SP,3,Graduate,"Rs 5,38,76,725 ~ 5 Crore+",53876725.0,Rs 0 ~,0.0
Lok Sabha,1833,Darshan Singh Choudhary,HOSHANGABAD,BJP,0,Post Graduate,"Rs 93,49,061 ~ 93 Lacs+",9349061.0,Rs 0 ~,0.0
Lok Sabha,1043,Dayanidhi Maran,CHENNAI CENTRAL,DMK,4,Graduate,"Rs 17,07,70,037 ~ 17 Crore+",170770037.0,Rs 0 ~,0.0
Lok Sabha,8497,Deepender Singh Hooda,ROHTAK,INC,0,Post Graduate,"Rs 69,25,58,771 ~ 69 Crore+",692558771.0,"Rs 23,18,344 ~ 23 Lacs+",2318344.0
Lok Sabha,3666,Delkar Kalaben Mohanbhai,DADAR & NAGAR HAVELI (ST),BJP,0,Graduate,"Rs 71,44,54,357 ~ 71 Crore+",714454357.0,"Rs 1,58,39,426 ~ 1 Crore+",15839426.0
Lok Sabha,5083,Devendra Singh Alias Bhole Singh,AKBARPUR,BJP,13,10th Pass,"Rs 4,78,28,524 ~ 4 Crore+",47828524.0,"Rs 99,02,495 ~ 99 Lacs+",9902495.0
Lok Sabha,3703,Devesh Shakya,ETAH,SP,1,Post Graduate,"Rs 3,40,61,340 ~ 3 Crore+",34061340.0,"Rs 4,42,323 ~ 4 Lacs+",442323.0
Lok Sabha,3772,Devusinh Chauhan,KHEDA,BJP,0,Graduate Professional,"Rs 3,49,76,572 ~ 3 Crore+",34976572.0,"Rs 49,96,647 ~ 49 Lacs+",4996647.0
Lok Sabha,3537,Dhairyasheel Sambhajirao Mane,HATKANANGALE,Shiv Sena,0,Graduate,"Rs 4,51,31,759 ~ 4 Crore+",45131759.0,"Rs 1,00,00,000 ~ 1 Crore+",10000000.0
Lok Sabha,300,Dhanorkar Pratibha Suresh Alias Balubhau,CHANDRAPUR,INC,0,12th Pass,"Rs 80,37,22,094 ~ 80 Crore+",803722094.0,"Rs 55,23,86,611 ~ 55 Crore+",552386611.0
Lok Sabha,8558,Dharambir Singh,BHIWANI-MAHENDRAGARH,BJP,0,Graduate,"Rs 11,56,64,424 ~ 11 Crore+",115664424.0,Rs 0 ~,0.0
Lok Sabha,8053,Dharmendra Pradhan,SAMBALPUR,BJP,5,Post Graduate,"Rs 6,92,19,190 ~ 6 Crore+",69219190.0,"Rs 53,37,781 ~ 53 Lacs+",5337781.0
Lok Sabha,8128,Dharmendra Yadav,AZAMGARH,SP,4,Post Graduate,"Rs 13,50,32,793 ~ 13 Crore+",135032793.0,"Rs 3,42,45,511 ~ 3 Crore+",34245511.0
Lok Sabha,3502,Dhaval Laxmanbhai Patel,VALSAD (ST),BJP,0,Post Graduate,"Rs 6,78,50,853 ~ 6 Crore+",67850853.0,Rs 0 ~,0.0
Lok Sabha,2753,Dilip Saikia,DARRANG-UDALGURI,BJP,0,Graduate,"Rs 2,64,42,931 ~ 2 Crore+",26442931.0,"Rs 37,30,107 ~ 37 Lacs+",3730107.0
Lok Sabha,3607,Dimple Yadav,MAINPURI,SP,0,Graduate,"Rs 42,02,62,015 ~ 42 Crore+",420262015.0,"Rs 99,85,548 ~ 99 Lacs+",9985548.0
Lok Sabha,3423,Dinesh Chandra Yadav,MADHEPURA,JD(U),0,Others,"Rs 6,62,09,377 ~ 6 Crore+",66209377.0,Rs 0 ~,0.0
Lok Sabha,3735,Dineshbhai Makwana (Advocate),AHMEDABAD WEST (SC),BJP,0,Graduate Professional,"Rs 14,17,69,586 ~ 14 Crore+",141769586.0,"Rs 1,32,22,046 ~ 1 Crore+",13222046.0
Lok Sabha,216,Dm Kathir Anand,VELLORE,DMK,5,Post Graduate,"Rs 88,79,65,643 ~ 88 Crore+",887965643.0,"Rs 51,16,58,487 ~ 51 Crore+",511658487.0
Lok Sabha,2502,Dr Bhola Singh,BULANDSHAHR (SC),BJP,1,Graduate,"Rs 3,60,17,232 ~ 3 Crore+",36017232.0,"Rs 66,42,427 ~ 66 Lacs+",6642427.0
Lok Sabha,5114,Dr Byreddy Shabari,NANDYAL,TDP,2,Post Graduate,"Rs 14,76,31,050 ~ 14 Crore+",147631050.0,"Rs 3,20,33,423 ~ 3 Crore+",32033423.0
Lok Sabha,2597,Dr C N Manjunath,BANGALORE RURAL,BJP,0,Post Graduate,"Rs 98,38,83,816 ~ 98 Crore+",983883816.0,"Rs 14,81,46,673 ~ 14 Crore+",148146673.0
Lok Sabha,8759,Dr Dharamvira Gandhi,PATIALA,INC,0,Post Graduate,"Rs 8,53,41,885 ~ 8 Crore+",85341885.0,Rs 0 ~,0.0
Lok Sabha,970,Dr Jayanta Kumar Roy,JALPAIGURI (SC),BJP,0,Post Graduate,"Rs 1,93,56,558 ~ 1 Crore+",19356558.0,"Rs 56,196 ~ 56 Thou+",56196.0
Lok Sabha,8,Dr Jitendra Singh,UDHAMPUR,BJP,0,Post Graduate,"Rs 8,59,05,005 ~ 8 Crore+",85905005.0,Rs 0 ~,0.0
Lok Sabha,5309,Dr Pradeep Kumar Panigrahy,BERHAMPUR,BJP,9,Doctorate,"Rs 3,78,08,128 ~ 3 Crore+",37808128.0,"Rs 3,82,00,000 ~ 3 Crore+",38200000.0
Lok Sabha,8762,Dr Rajeev Bhardwaj,KANGRA,BJP,0,Graduate Professional,"Rs 5,87,23,886 ~ 5 Crore+",58723886.0,"Rs 4,24,821 ~ 4 Lacs+",424821.0
Lok Sabha,1808,Dr Rajkumar Sangwan,BAGHPAT,Rashtriya Lok Dal,3,Doctorate,"Rs 47,99,426 ~ 47 Lacs+",4799426.0,Rs 0 ~,0.0
Lok Sabha,1440,Dr Rani Sri Kumar,TENKASI (SC),DMK,0,Post Graduate,"Rs 2,13,75,000 ~ 2 Crore+",21375000.0,"Rs 9,88,040 ~ 9 Lacs+",988040.0
