id,mpName,house,state,constituency,party,criminal_cases,education,total_assets_raw,total_assets_inr,liabilities_raw,liabilities_inr,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,unspentAmount
6a932b5bcd944524379ede3d,DR RANI SRI KUMAR,Lok Sabha,Tamil Nadu,TENKASI,DMK,0,Post Graduate,"Rs 2,13,75,000 ~ 2 Crore+",21375000.0,"Rs 9,88,040 ~ 9 Lacs+",988040.0,153060922.82,99919930.0,65.28,102,58,63.75,53140992.82
6a932b5bcd944524379eddc0,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,SP,3,Graduate Professional,"Rs 1,36,43,48,650 ~ 136 Crore+",1364348650.0,"Rs 11,65,61,358 ~ 11 Crore+",116561358.0,147000000.0,95931875.0,65.26,37,6,86.05,51068125.0
6a932b5bcd944524379ede1a,CHHATRA PAL SINGH GANGWAR,Lok Sabha,Uttar Pradesh,BAREILLY,BJP,2,Post Graduate,"Rs 4,87,88,862 ~ 4 Crore+",48788862.0,"Rs 70,44,201 ~ 70 Lacs+",7044201.0,147000000.0,95712065.0,65.11,142,44,76.34,51287935.0
6a932b5bcd944524379edec9,MANOJ KUMAR,Lok Sabha,Bihar,SASARAM,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,95686097.0,65.09,82,112,42.27,51313903.0
6a932b5bcd944524379edeec,Pankaj Chowdhary,Lok Sabha,Uttar Pradesh,MAHARAJGANJ,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,95676373.0,65.09,35,30,53.85,51323627.0
6a932b5bcd944524379ede9c,KARAN BHUSHAN SINGH,Lok Sabha,Uttar Pradesh,KAISERGANJ,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,95454825.0,64.94,33,75,30.56,51545175.0
6a932b5ecd944524379ee1fb,Dr. Kavita Patidar (2022-28),Rajya Sabha,Madhya Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,197118521.35,127377000.12,64.62,142,75,65.44,69741521.23
6a932b5bcd944524379ede71,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,152003923.11,98023420.0,64.49,38,81,31.93,53980503.11
6a932b5ecd944524379ee24d,Shri K.R.N. Rajeshkumar (2022-28),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,238513975.53,152999036.0,64.15,84,18,82.35,85514939.53
6a932b5bcd944524379edf59,SHER SINGH GHUBAYA,Lok Sabha,Punjab,FIROZPUR,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,94266196.0,64.13,361,34,91.39,52733804.0
