constituency,state,projectCount,totalAmount
OUTER MANIPUR,Manipur,110,178631963.0
PALAKKAD,Kerala,356,175774309.0
PALAMU,Jharkhand,467,178465915.0
PALGHAR,Maharashtra,175,177418588.0
PALI,Rajasthan,222,123809591.5
PANCHMAHAL,Gujarat,934,187553576.0
PARBHANI,Maharashtra,220,177967824.0
PASCHIM CHAMPARAN,Bihar,239,111283766.0
PATALIPUTRA,Bihar,324,102159737.0
PATAN,Gujarat,545,186146147.25
PATHANAMTHITTA,Kerala,522,229536072.01
PATIALA,Punjab,552,188070760.22
PATNA SAHIB,Bihar,286,172606179.0
PEDDAPALLE,Telangana,420,153519474.0
PERAMBALUR,Tamil Nadu,129,197073583.0
PHULPUR,Uttar Pradesh,468,195374602.52
PILIBHIT,Uttar Pradesh,201,154262897.89
POLLACHI,Tamil Nadu,223,189446387.0
PONNANI,Kerala,445,237055957.0
PORBANDAR,Gujarat,489,198549404.0
PRATAPGARH,Uttar Pradesh,874,194843062.6
Puducherry,Puducherry,140,217833839.0
PUNE,Maharashtra,133,173412600.3
PURI,Odisha,1031,210801020.0
PURNEA,Bihar,271,242541359.0
PURULIA,West Bengal,238,164121730.0
PURVI CHAMPARAN,Bihar,187,216822158.0
RAE BARELI,Uttar Pradesh,1670,194178717.86
RAICHUR,Karnataka,332,192681370.0
RAIGAD,Maharashtra,168,192796307.0
RAIGANJ,West Bengal,474,194416937.0
RAIGARH,Chhattisgarh,202,138568554.0
RAIPUR,Chhattisgarh,370,210300616.0
RAJAHMUNDRY,Andhra Pradesh,44,184491124.0
RAJAMPET,Andhra Pradesh,764,255805348.92
RAJGARH,Madhya Pradesh,765,219900715.0
RAJKOT,Gujarat,585,241497357.0
RAJMAHAL,Jharkhand,1058,212981889.0
RAJNANDGAON,Chhattisgarh,344,155287926.0
RAJSAMAND,Rajasthan,215,163048530.0
RAMANATHAPURAM,Tamil Nadu,294,190891154.0
RAMPUR,Uttar Pradesh,732,135429470.84
RAMTEK,Maharashtra,210,130326795.0
RANAGHAT,West Bengal,364,182698662.0
RANCHI,Jharkhand,229,146792248.0
RATLAM,Madhya Pradesh,305,162100226.0
RATNAGIRI-SINDHUDURG,Maharashtra,204,156298603.0
RAVER,Maharashtra,105,108037917.0
REWA,Madhya Pradesh,228,208494262.0
ROBERTSGANJ,Uttar Pradesh,537,180392531.0
ROHTAK,Haryana,355,220718655.0
SABARKANTHA,Gujarat,490,168756879.0
SAGAR,Madhya Pradesh,474,251834533.0
SAHARANPUR,Uttar Pradesh,177,156023919.0
SALEM,Tamil Nadu,78,102611741.5
SALEMPUR,Uttar Pradesh,422,250622404.0
SAMASTIPUR,Bihar,218,160358416.0
SAMBALPUR,Odisha,341,240935107.0
SAMBHAL,Uttar Pradesh,534,140990253.85
SANGLI,Maharashtra,245,204123043.0
SANGRUR,Punjab,906,175032583.19
SANT KABIR NAGAR,Uttar Pradesh,650,200172732.82
SARAN,Bihar,58,297212000.0
SARGUJA,Chhattisgarh,520,168960597.0
SASARAM,Bihar,279,193273878.0
SATARA,Maharashtra,369,213012025.0
SATNA,Madhya Pradesh,600,143475318.0
SECUNDERABAD,Telangana,130,169668953.0
SHAHDOL,Madhya Pradesh,486,188506016.0
SHAHJAHANPUR,Uttar Pradesh,423,219222657.0
SHEOHAR,Bihar,179,158995885.0
SHILLONG,Meghalaya,444,169185000.0
SHIMLA,Himachal Pradesh,884,178283289.0
SHIMOGA,Karnataka,487,195004354.0
SHIRDI,Maharashtra,262,168144037.0
SHIRUR,Maharashtra,210,191563521.0
SHRAWASTI,Uttar Pradesh,2420,202757389.0
SIDHI,Madhya Pradesh,371,238591741.0
SIKAR,Rajasthan,246,144468703.0
SIKKIM,Sikkim,174,226682145.0
SILCHAR,Assam,263,146505473.33
SINGHBHUM,Jharkhand,279,176042810.0
SIRSA,Haryana,508,171268990.0
SITAMARHI,Bihar,393,189928723.0
SITAPUR,Uttar Pradesh,93,212356775.0
Sitting Rajya Sabha,Karnataka,805,985981134.0
Sitting Rajya Sabha,Odisha,1051,660540764.0
Sitting Rajya Sabha,Sikkim,118,145830114.0
Sitting Rajya Sabha,Kerala,1357,1373802142.0
Sitting Rajya Sabha,Gujarat,1329,833849906.0
Sitting Rajya Sabha,Himachal Pradesh,855,285711740.04
Sitting Rajya Sabha,Bihar,1806,1678320759.0
Sitting Rajya Sabha,Andhra Pradesh,658,673618858.0
Sitting Rajya Sabha,Uttarakhand,541,464954143.0
Sitting Rajya Sabha,Haryana,285,224514499.0
Sitting Rajya Sabha,Assam,493,546816070.54
Sitting Rajya Sabha,Punjab,958,858849428.26
Sitting Rajya Sabha,Puducherry,101,253804780.0
Sitting Rajya Sabha,Rajasthan,982,919438754.0
Sitting Rajya Sabha,Tripura,58,84649344.0
Sitting Rajya Sabha,Goa,42,115145702.99
Sitting Rajya Sabha,Tamil Nadu,1174,1370371321.0
Sitting Rajya Sabha,Nagaland,77,204171000.0
Sitting Rajya Sabha,Delhi,156,228422906.0
Sitting Rajya Sabha,Uttar Pradesh,5803,4639104941.93
Sitting Rajya Sabha,Maharashtra,1019,1233961570.0
Sitting Rajya Sabha,Jharkhand,1293,688453593.0
Sitting Rajya Sabha,Telangana,807,501173597.0
Sitting Rajya Sabha,Madhya Pradesh,1364,908392976.0
Sitting Rajya Sabha,Chhattisgarh,411,358382247.0
Sitting Rajya Sabha,West Bengal,284,805660714.68
Sitting Rajya Sabha,Jammu And Kashmir,34,43378690.0
Sitting Rajya Sabha,Manipur,10,19500000.0
SIVAGANGA,Tamil Nadu,349,221710263.0
SIWAN,Bihar,291,241942782.0
SOLAPUR,Maharashtra,425,226088879.0
SONEPAT,Haryana,364,198700471.0
Sonitpur,Assam,277,193180811.32
SOUTH DELHI,Delhi,164,197199410.0
SOUTH GOA,Goa,208,203892034.0
SREERAMPUR,West Bengal,233,166451266.0
SRIKAKULAM,Andhra Pradesh,347,210246857.0
SRINAGAR,Jammu And Kashmir,198,84261801.1
SRIPERUMBUDUR,Tamil Nadu,225,231433598.0
SULTANPUR,Uttar Pradesh,132,213108219.57
SUNDARGARH,Odisha,341,190736295.0
SUPAUL,Bihar,179,186508231.0
SURAT,Gujarat,283,186325687.0
SURENDRANAGAR,Gujarat,472,179443407.61
TAMLUK,West Bengal,494,184990671.78
TEHRI GARHWAL,Uttarakhand,712,170470845.08
TENKASI,Tamil Nadu,373,233283144.0
THANE,Maharashtra,41,96020082.0
THANJAVUR,Tamil Nadu,126,229799056.0
THENI,Tamil Nadu,184,211393274.0
THIRUVANANTHAPURAM,Kerala,283,183883641.0
THOOTHUKKUDI,Tamil Nadu,116,222365107.0
THRISSUR,Kerala,181,196922610.16
TIKAMGARH,Madhya Pradesh,626,217574375.0
TIRUCHIRAPPALLI,Tamil Nadu,232,164086209.0
TIRUNELVELI,Tamil Nadu,211,197790260.0
TIRUPATI,Andhra Pradesh,391,207955090.0
TIRUPPUR,Tamil Nadu,196,228619922.0
TIRUVALLUR,Tamil Nadu,353,236201756.0
TIRUVANNAMALAI,Tamil Nadu,321,146497799.0
TONK-SAWAI MADHOPUR,Rajasthan,155,71792386.0
TRIPURA EAST,Tripura,61,192661574.0
TRIPURA WEST,Tripura,229,223259652.0
TUMKUR,Karnataka,278,171636312.0
TURA,Meghalaya,686,229420000.0
UDAIPUR,Rajasthan,319,159970825.54
UDHAMPUR,Jammu And Kashmir,479,159713899.0
UDUPI CHIKMAGALUR,Karnataka,538,217705516.0
UJJAIN,Madhya Pradesh,510,171563743.8
UJJARPUR,Bihar,414,152723844.0
ULUBERIA,West Bengal,359,167794656.0
UNNAO,Uttar Pradesh,172,199832222.0
UTTARA KANNADA,Karnataka,247,145003127.0
VADAKARA,Kerala,293,187146522.0
VADODARA,Gujarat,314,183582883.0
VAISHALI,Bihar,134,259486523.0
VALMIKI NAGAR,Bihar,344,220456460.0
VALSAD,Gujarat,534,206998139.0
VARANASI,Uttar Pradesh,513,208484222.0
VELLORE,Tamil Nadu,139,164308663.0
VIDISHA,Madhya Pradesh,432,163757417.0
VIJAYAWADA,Andhra Pradesh,122,115596399.0
VILUPPURAM,Tamil Nadu,480,224393218.0
VIRUDHUNAGAR,Tamil Nadu,213,194305347.0
VISAKHAPATNAM,Andhra Pradesh,95,171846163.0
VIZIANAGARAM,Andhra Pradesh,364,144920232.0
WARANGEL,Telangana,508,191325327.0
WARDHA,Maharashtra,323,138698120.0
WAYANAD,Kerala,162,202878206.0
WEST DELHI,Delhi,161,196582339.0
YAVATMAL-WASHIM,Maharashtra,259,199901838.87
ZAHIRABAD,Telangana,928,216488697.0
